257,NULL,Adjusted Protein,g,
513,ALA_G,Alanine,g,
221,ALC,"Alcohol, ethyl",g,
511,ARG_G,Arginine,g,
207,ASH,Ash,g,
514,ASP_G,Aspartic acid,g,
641,SITSTR,Beta-sitosterol,mg,
454,BETN,Betaine,mg,
262,CAFFN,Caffeine,mg,
301,CA,"Calcium, Ca",mg,
639,CAMD5,Campesterol,mg,
205,CHOCDF,"Carbohydrate, by difference",g,
322,CARTA,"Carotene, alpha",Aug,
321,CARTB,"Carotene, beta",Aug,
601,CHOLE,Cholesterol,mg,
421,CHOLN,"Choline, total",mg,
312,CU,"Copper, Cu",mg,
334,CRYPX,"Cryptoxanthin, beta",Aug,
507,CYS_G,Cystine,g,
429,VITK1D,Dihydrophylloquinone,Aug,
208,ENERC_KCAL,Energy,kcal,
268,ENERC_KJ,Energy,kJ,
645,FAMS,"Fatty acids, total monounsaturated",g,
646,FAPU,"Fatty acids, total polyunsaturated",g,
606,FASAT,"Fatty acids, total saturated",g,
605,FATRN,"Fatty acids, total trans",g,
693,FATRNM,"Fatty acids, total trans-monoenoic",g,
695,FATRNP,"Fatty acids, total trans-polyenoic",g,
291,FIBTG,"Fiber, total dietary",g,
313,FLD,"Fluoride, F",Aug,
435,FOLDFE,"Folate, DFE",Aug,
432,FOLFD,"Folate, food",Aug,
417,FOL,"Folate, total",Aug,
431,FOLAC,Folic acid,Aug,
212,FRUS,Fructose,g,
287,GALS,Galactose,g,
211,GLUS,Glucose (dextrose),g,
515,GLU_G,Glutamic acid,g,
516,GLY_G,Glycine,g,
512,HISTN_G,Histidine,g,
521,HYP,Hydroxyproline,g,
303,FE,"Iron, Fe",mg,
503,ILE_G,Isoleucine,g,
213,LACS,Lactose,g,
504,LEU_G,Leucine,g,
338,LUT+ZEA,Lutein + zeaxanthin,Aug,
337,LYCPN,Lycopene,Aug,
505,LYS_G,Lysine,g,
304,MG,"Magnesium, Mg",mg,
214,MALS,Maltose,g,
315,MN,"Manganese, Mn",mg,
428,MK4,Menaquinone-4,Aug,
506,MET_G,Methionine,g,
406,NIA,Niacin,mg,
410,PANTAC,Pantothenic acid,mg,
508,PHE_G,Phenylalanine,g,
305,P,"Phosphorus, P",mg,
636,PHYSTR,Phytosterols,mg,
306,K,"Potassium, K",mg,
517,PRO_G,Proline,g,
203,PROCNT,Protein,g,
319,RETOL,Retinol,Aug,
405,RIBF,Riboflavin,mg,
317,SE,"Selenium, Se",Aug,
518,SER_G,Serine,g,
307,NA,"Sodium, Na",mg,
209,STARCH,Starch,g,
638,STID7,Stigmasterol,mg,
210,SUCS,Sucrose,g,
269,SUGAR,"Sugars, total",g,
263,THEBRN,Theobromine,mg,
404,THIA,Thiamin,mg,
502,THR_G,Threonine,g,
341,TOCPHB,"Tocopherol, beta",mg,
343,TOCPHD,"Tocopherol, delta",mg,
342,TOCPHG,"Tocopherol, gamma",mg,
204,FAT,Total lipid (fat),g,
501,TRP_G,Tryptophan,g,
509,TYR_G,Tyrosine,g,
510,VAL_G,Valine,g,
318,VITA_IU,"Vitamin A, IU",IU,
320,VITA_RAE,"Vitamin A, RAE",Aug,
418,VITB12,Vitamin B-12,Aug,
578,NULL,"Vitamin B-12, added",Aug,
415,VITB6A,Vitamin B-6,mg,
401,VITC,"Vitamin C, total ascorbic acid",mg,
324,VITD,Vitamin D,IU,
328,VITD,Vitamin D (D2 + D3),Aug,
325,ERGCAL,Vitamin D2 (ergocalciferol),Aug,
326,CHOCAL,Vitamin D3 (cholecalciferol),Aug,
323,TOCPHA,Vitamin E (alpha-tocopherol),mg,
573,NULL,"Vitamin E, added",mg,
430,VITK1,Vitamin K (phylloquinone),Aug,
255,WATER,Water,g,
309,ZN,"Zinc, Zn",mg,